id,bga_nickname,association
95754689,atapi,AUS
95522929,Federikus,AUS
91074563,NTesla285,AUS
96389719,riddle771,CHN
94061018,SuperIRonHead,CHN
93001693,inceptionrr,CHN
98827050,Goldenkrodfilms,COL
87606414,Vick96,COL
88327998,Heylord,COL
96632448,⁠Biduka,COL
88308531,Adrianal,COL
98335131,SKINNERG16,COL
92712799,Pandemonium7,COL
99365524,joa_na,COL
88113731,Felochip,COL
94367581,KarenMV,COL
94363975,JpSteps7,COL
85366518,Asmurf,URY
85431140,yuto171,HRV
96819919,Alina 135,LVA
95143036,playmaic0l,CHL
91685138,martinperez,CHL
95038246,gatuzo,CHL
95140054,ALWAYS WANNA FEED,CHL
94283048,Auremila,CHL
84883533,brother Robin,UKR
84919187,Ceballos,POL
95717041,Cioovat,CHL
5988368,Enox,MEX
84841041,Erva Atol,UKR
96760040,FalaFelipe,CHL
90608860,Gubbancsfej,HUN
84825285,Hornir91,POL
96343766,jorguerra,CHL
94570481,Marianogg8,ARG
85638598,Meeplemotoquero,ARG
88573241,MisterMéé,BRA
84991123,Otromanuel,ARG
96289625,Princesa Rata,CHL
86876169,RoyTrewa,CHL
95699130,self_evident3,CHN
90447787,Smilegames,COL
94099302,Spitki,UKR
93490241,Starepravo,UKR
96325168,tio arbolito,CHL
95809080,trilcetei,FIN
87158249,Vita-,ARG