id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250410-87995425-84486751,Friendly-Matches,20250410BRAESP,1,Bo3,10/04/2025 20:00:00,0,87995425,84486751,,84375106
20250410-88259345-88262806,Friendly-Matches,20250410BRAESP,2,Bo3,10/04/2025 20:00:00,0,88259345,88262806,,84375106
20250410-86345496-86256371,Friendly-Matches,20250410BRAESP,3,Bo3,10/04/2025 20:00:00,0,86345496,86256371,,84375106
20250410-93433730-88124331,Friendly-Matches,20250410BRAESP,4,Bo3,10/04/2025 20:00:00,0,93433730,88124331,,84375106
20250410-88026513-86482486,Friendly-Matches,20250410BRAESP,5,Bo3,10/04/2025 20:00:00,0,88026513,86482486,,84375106
20250410-85237858-90995279,Friendly-Matches,20250410GBRBEL,1,Bo3,10/04/2025 19:00:00,0,85237858,90995279,,84375106
20250410-84972043-94586198,Friendly-Matches,20250410GBRBEL,2,Bo3,10/04/2025 19:00:00,0,84972043,94586198,,84375106
20250410-85573257-84635111,Friendly-Matches,20250410GBRBEL,3,Bo3,10/04/2025 19:00:00,0,85573257,84635111,,84375106
20250410-84783668-93464744,Friendly-Matches,20250410GBRBEL,4,Bo3,10/04/2025 19:00:00,0,84783668,93464744,,84375106
20250410-94367358-39136230,Friendly-Matches,20250410GBRBEL,5,Bo3,10/04/2025 19:00:00,0,94367358,39136230,,84375106
20250410-85412726-84983857,Friendly-Matches,20250410GBRBEL,6,Bo3,10/04/2025 19:00:00,0,85412726,84983857,,84375106
20250410-95591926-1133242,Friendly-Matches,20250410GBRBEL,7,Bo3,10/04/2025 19:00:00,0,95591926,1133242,,84375106
20250407-86771532-84441803,Friendly-Matches,20250407UKRLVA,1,Bo3,07/04/2025 19:00:00,0,86771532,84441803,,84375106
20250407-94373811-97277276,Friendly-Matches,20250407UKRLVA,2,Bo3,07/04/2025 19:00:00,0,94373811,97277276,,84375106
20250407-93914523-84970340,Friendly-Matches,20250407UKRLVA,3,Bo3,07/04/2025 19:00:00,0,93914523,84970340,,84375106
20250407-84654631-14710161,Friendly-Matches,20250407UKRLVA,4,Bo3,07/04/2025 19:00:00,0,84654631,14710161,,84375106
20250407-41973045-84651577,Friendly-Matches,20250407UKRLVA,5,Bo3,07/04/2025 19:00:00,0,41973045,84651577,,84375106
20250407-93631741-90355270,Friendly-Matches,20250407UKRLVA,6,Bo3,07/04/2025 19:00:00,0,93631741,90355270,,84375106
20250407-87903300-83908851,Friendly-Matches,20250407UKRLVA,7,Bo3,07/04/2025 19:00:00,0,87903300,83908851,,84375106
20250407-94099302-94385542,Friendly-Matches,20250407UKRLVA,8,Bo3,07/04/2025 19:00:00,0,94099302,94385542,,84375106
20250407-96490976-84016964,Friendly-Matches,20250407UKRLVA,9,Bo3,07/04/2025 19:00:00,0,96490976,84016964,,84375106
20250407-92416909-94238979,Friendly-Matches,20250407UKRLVA,10,Bo3,07/04/2025 19:00:00,0,92416909,94238979,,84375106
20250407-84841041-95879528,Friendly-Matches,20250407UKRLVA,11,Bo3,07/04/2025 19:00:00,0,84841041,95879528,,84375106
20250406-90815584-95199738,Friendly-Matches,20250406LTUUKR,1,Bo3,06/04/2025 13:00:00,0,90815584,95199738,,84375106
20250406-92586304-91626681,Friendly-Matches,20250406LTUUKR,2,Bo3,06/04/2025 13:00:00,0,92586304,91626681,,84375106
20250406-89227574-94401914,Friendly-Matches,20250406LTUUKR,3,Bo3,06/04/2025 13:00:00,0,89227574,94401914,,84375106
20250406-90943003-94743491,Friendly-Matches,20250406LTUUKR,4,Bo3,06/04/2025 13:00:00,0,90943003,94743491,,84375106
20250406-87805107-95318434,Friendly-Matches,20250406LTUUKR,5,Bo3,06/04/2025 13:00:00,0,87805107,95318434,,84375106
20250406-87349391-84841041,Friendly-Matches,20250406CHNTHA,1,Bo3,06/04/2025 13:00:00,0,87349391,84841041,,84375106
20250406-86305903-85577871,Friendly-Matches,20250406CHNTHA,2,Bo3,06/04/2025 13:00:00,0,86305903,85577871,,84375106
20250406-58317648-84375106,Friendly-Matches,20250406CHNTHA,3,Bo3,06/04/2025 13:00:00,0,58317648,84375106,,84375106
20250406-87000301-95704683,Friendly-Matches,20250406CHNTHA,4,Bo3,06/04/2025 13:00:00,0,87000301,95704683,,84375106
20250406-84241508-94546376,Friendly-Matches,20250406CHNTHA,5,Bo3,06/04/2025 13:00:00,0,84241508,94546376,,84375106
20250406-90415766-95673062,Friendly-Matches,20250406CHNTHA,6,Bo3,06/04/2025 13:00:00,0,90415766,95673062,,84375106
20250402-93631741-90995279,Friendly-Matches,20250402UKRBEL,1,Bo3,02/04/2025 18:30:00,0,93631741,90995279,,84375106
20250402-96490976-84216333,Friendly-Matches,20250402UKRBEL,2,Bo3,02/04/2025 18:30:00,0,96490976,84216333,,84375106
20250402-85577871-84142963,Friendly-Matches,20250402UKRBEL,3,Bo3,02/04/2025 18:30:00,0,85577871,84142963,,84375106
20250402-84841041-89164268,Friendly-Matches,20250402UKRBEL,4,Bo3,02/04/2025 18:30:00,0,84841041,89164268,,84375106
20250402-95673062-1133242,Friendly-Matches,20250402UKRBEL,5,Bo3,02/04/2025 18:30:00,0,95673062,1133242,,84375106
20250402-94099302-65246746,Friendly-Matches,20250402UKRBEL,6,Bo3,02/04/2025 18:30:00,0,94099302,65246746,,84375106
20250402-41973045-84635111,Friendly-Matches,20250402UKRBEL,7,Bo3,02/04/2025 18:30:00,0,41973045,84635111,,84375106
20250402-95704683-89706622,Friendly-Matches,20250402UKRBEL,8,Bo3,02/04/2025 18:30:00,0,95704683,89706622,,84375106
20250402-87903300-39136230,Friendly-Matches,20250402UKRBEL,9,Bo3,02/04/2025 18:30:00,0,87903300,39136230,,84375106
20250402-94546376-93464744,Friendly-Matches,20250402UKRBEL,10,Bo3,02/04/2025 18:30:00,0,94546376,93464744,,84375106
20250402-84375106-94586198,Friendly-Matches,20250402UKRBEL,11,Bo3,02/04/2025 18:30:00,0,84375106,94586198,,84375106
20250401-93119390-84654631,Friendly-Matches,20250401ITAUKR,1,Bo3,01/04/2025 19:00:00,0,93119390,84654631,,84375106
20250401-93267653-84539193,Friendly-Matches,20250401ITAUKR,2,Bo3,01/04/2025 19:00:00,0,93267653,84539193,,84375106
20250401-84885491-93914523,Friendly-Matches,20250401ITAUKR,3,Bo3,01/04/2025 19:00:00,0,84885491,93914523,,84375106
20250401-84461619-96031006,Friendly-Matches,20250401ITAUKR,4,Bo3,01/04/2025 19:00:00,0,84461619,96031006,,84375106
20250401-89523610-84512971,Friendly-Matches,20250401ITAUKR,5,Bo3,01/04/2025 19:00:00,0,89523610,84512971,,84375106
20250330-86771532-85217439,Friendly-Matches,20250330UKRPRT,1,Bo3,30/03/2025 17:30:00,0,86771532,85217439,,84375106
20250330-41973045-94346145,Friendly-Matches,20250330UKRPRT,2,Bo3,30/03/2025 17:30:00,0,41973045,94346145,,84375106
20250330-95673062-83925004,Friendly-Matches,20250330UKRPRT,3,Bo3,30/03/2025 17:30:00,0,95673062,83925004,,84375106
20250330-95704683-93739167,Friendly-Matches,20250330UKRPRT,4,Bo3,30/03/2025 17:30:00,0,95704683,93739167,,84375106
20250330-87903300-84799895,Friendly-Matches,20250330UKRPRT,5,Bo3,30/03/2025 17:30:00,0,87903300,84799895,,84375106
20250329-83858076-92210211,Friendly-Matches,20250329JPNTWN,1,Bo3,29/03/2025 13:00:00,0,83858076,92210211,,84375106
20250329-91776994-90500195,Friendly-Matches,20250329JPNTWN,2,Bo3,29/03/2025 13:00:00,0,91776994,90500195,,84375106
20250329-83895381-88382620,Friendly-Matches,20250329JPNTWN,3,Bo3,29/03/2025 13:00:00,0,83895381,88382620,,84375106
20250329-84486351-94638523,Friendly-Matches,20250329JPNTWN,4,Bo3,29/03/2025 13:00:00,0,84486351,94638523,,84375106
20250329-85455744-91111047,Friendly-Matches,20250329JPNTWN,5,Bo3,29/03/2025 13:00:00,0,85455744,91111047,,84375106
20250328-84477654-86611873,Friendly-Matches,20250328FINHRV,1,Bo3,28/03/2025 19:00:00,0,84477654,86611873,,84375106
20250328-90500048-85397297,Friendly-Matches,20250328FINHRV,2,Bo3,28/03/2025 19:00:00,0,90500048,85397297,,84375106
20250328-87435630-84369082,Friendly-Matches,20250328FINHRV,3,Bo3,28/03/2025 19:00:00,0,87435630,84369082,,84375106
20250328-90314669-95122337,Friendly-Matches,20250328FINHRV,4,Bo3,28/03/2025 19:00:00,0,90314669,95122337,,84375106
20250328-96610271-5833386,Friendly-Matches,20250328FINHRV,5,Bo3,28/03/2025 19:00:00,0,96610271,5833386,,84375106
20250326-86256371-84757617,Friendly-Matches,20250326ESPPRT,1,Bo3,26/03/2025 20:30:00,0,86256371,84757617,,84375106
20250326-86482486-84799895,Friendly-Matches,20250326ESPPRT,2,Bo3,26/03/2025 20:30:00,0,86482486,84799895,,84375106
20250326-90496787-95814549,Friendly-Matches,20250326ESPPRT,3,Bo3,26/03/2025 20:30:00,0,90496787,95814549,,84375106
20250326-86631947-84039149,Friendly-Matches,20250326ESPPRT,4,Bo3,26/03/2025 20:30:00,0,86631947,84039149,,84375106
20250326-86623442-85119891,Friendly-Matches,20250326ESPPRT,5,Bo3,26/03/2025 20:30:00,0,86623442,85119891,,84375106
20250325-84983857-87889894,Friendly-Matches,20250325BELFIN,1,Bo3,25/03/2025 19:00:00,0,84983857,87889894,,84375106
20250325-90995279-85330667,Friendly-Matches,20250325BELFIN,2,Bo3,25/03/2025 19:00:00,0,90995279,85330667,,84375106
20250325-94586198-89404935,Friendly-Matches,20250325BELFIN,3,Bo3,25/03/2025 19:00:00,0,94586198,89404935,,84375106
20250325-84216333-96610271,Friendly-Matches,20250325BELFIN,4,Bo3,25/03/2025 19:00:00,0,84216333,96610271,,84375106
20250325-93464744-90314669,Friendly-Matches,20250325BELFIN,5,Bo3,25/03/2025 19:00:00,0,93464744,90314669,,84375106