id,tournament_id,time_utc,team_1,team_2,number_of_duels,lineup_type,status,created_by
20251016ITAUKR,Friendly-Matches,16/10/2025 18:00:00,ITA,UKR,7,Open,Planned,84375106
20251009UKRHRV,Friendly-Matches,09/10/2025 18:00:00,UKR,HRV,7,Open,Planned,84375106
20251012PRTUKR,Friendly-Matches,12/10/2025 17:00:00,PRT,UKR,6,Open,Planned,84375106
20251015UKRLVA,Friendly-Matches,15/10/2025 18:00:00,UKR,LVA,7,Open,Planned,84375106
20251025CHNTHA,Friendly-Matches,25/10/2025 14:00:00,CHN,THA,3,Open,Planned,84375106
20260221COLUKR,Friendly-Matches,21/02/2026 19:00:00,COL,UKR,6,Open,Planned,84375106
20260214COLCHL,Friendly-Matches,14/02/2026 15:00:00,COL,CHL,5,Open,Planned,84375106
20260222COLARG,Friendly-Matches,22/02/2026 01:00:00,COL,ARG,6,Open,Planned,84375106
20260228COLBRA,Friendly-Matches,28/02/2026 14:30:00,COL,BRA,7,Open,Planned,84375106
20260301COLJPN,Friendly-Matches,01/03/2026 13:30:00,COL,JPN,5,Open,Planned,84375106
20260312COLURY,Friendly-Matches,12/03/2026 01:00:00,COL,URY,8,Open,Planned,84375106
20260312BELHRV,Friendly-Matches,12/03/2026 19:30:00,BEL,HRV,5,Open,Planned,84375106
20250223FINTUT,Friendly-Matches,23/02/2025 19:00:00,FIN,TUT,5,Open,Planned,84375106
20250217ITACHL,Friendly-Matches,17/02/2025 22:00:00,ITA,CHL,8,Open,Planned,84375106
20250215ITAHKG,Friendly-Matches,15/02/2025 13:00:00,ITA,HKG,5,Open,Planned,84375106
20250213HKGTWN,Friendly-Matches,13/02/2025 14:00:00,HKG,TWN,5,Open,Planned,84375106
20250211BELHRV,Friendly-Matches,11/02/2025 19:00:00,BEL,HRV,10,Open,Planned,84375106
20250315TUTHKG,Friendly-Matches,15/03/2025 15:00:00,TUT,HKG,5,Open,Planned,84375106
20250312HRVUKR,Friendly-Matches,12/03/2025 20:00:00,HRV,UKR,6,Open,Planned,84375106
20250312BELITA,Friendly-Matches,12/03/2025 20:00:00,BEL,ITA,8,Open,Planned,84375106
20250309FINHUN,Friendly-Matches,09/03/2025 19:00:00,FIN,HUN,5,Open,Planned,84375106
20250309UKRCHL,Friendly-Matches,09/03/2025 18:00:00,UKR,CHL,8,Open,Planned,84375106
20250308LVACHN,Friendly-Matches,08/03/2025 13:30:00,LVA,CHN,7,Open,Planned,84375106
20250308TWNITA,Friendly-Matches,08/03/2025 13:00:00,TWN,ITA,5,Open,Planned,84375106
20250303TUTHRV,Friendly-Matches,03/03/2025 19:00:00,TUT,HRV,7,Open,Planned,84375106
20250301USAHKG,Friendly-Matches,01/03/2025 14:00:00,USA,HKG,5,Open,Planned,84375106
20250227TUTITA,Friendly-Matches,27/02/2025 19:00:00,TUT,ITA,5,Open,Planned,84375106
20250226ARGPRT,Friendly-Matches,26/02/2025 18:30:00,ARG,PRT,7,Open,Planned,84375106
20250323BELHKG,Friendly-Matches,23/03/2025 15:00:00,BEL,HKG,5,Open,Planned,84375106
20250322THAJPN,Friendly-Matches,22/03/2025 13:00:00,THA,JPN,5,Open,Planned,84375106
20250322BRALVA,Friendly-Matches,22/03/2025 17:00:00,BRA,LVA,6,Open,Planned,84375106
20250321CHLARG,Friendly-Matches,21/03/2025 23:00:00,CHL,ARG,6,Open,Planned,84375106
20250320UKRHUN,Friendly-Matches,20/03/2025 19:00:00,UKR,HUN,6,Open,Planned,84375106
20250318TUTUKR,Friendly-Matches,18/03/2025 18:00:00,TUT,UKR,9,Open,Planned,84375106
20250317BELNLD,Friendly-Matches,17/03/2025 20:00:00,BEL,NLD,5,Open,Planned,84375106
20250317UKRFRA,Friendly-Matches,17/03/2025 20:00:00,UKR,FRA,8,Open,Planned,84375106
20250316HRVCOL,Friendly-Matches,16/03/2025 18:00:00,HRV,COL,9,Open,Planned,84375106
20250726URYAUS,Friendly-Matches,26/07/2025 23:00:00,URY,AUS,7,Open,Planned,84375106
20250419BELAUS,Friendly-Matches,19/04/2025 11:00:00,BEL,AUS,8,Open,Planned,84375106
20250417UKRUKR2,Friendly-Matches,17/04/2025 18:00:00,UKR,UKR2,7,Open,Planned,84375106
20250415ESPUKR,Friendly-Matches,15/04/2025 18:30:00,ESP,UKR,5,Open,Planned,84375106
20250413HUNGBR,Friendly-Matches,13/04/2025 19:00:00,HUN,GBR,7,Open,Planned,84375106
20250413JPNFIN,Friendly-Matches,13/04/2025 13:00:00,JPN,FIN,5,Open,Planned,84375106
20250413LTUHRV,Friendly-Matches,13/04/2025 13:00:00,LTU,HRV,5,Open,Planned,84375106
20250412MEXUKR,Friendly-Matches,12/04/2025 18:00:00,MEX,UKR,7,Open,Planned,84375106
20250410BRAESP,Friendly-Matches,10/04/2025 20:00:00,BRA,ESP,5,Open,Planned,84375106
20250410GBRBEL,Friendly-Matches,10/04/2025 19:00:00,GBR,BEL,7,Open,Planned,84375106
20250407UKRLVA,Friendly-Matches,07/04/2025 19:00:00,UKR,LVA,11,Open,Planned,84375106
20250406CHNTHA,Friendly-Matches,06/04/2025 13:00:00,CHN,THA,5,Open,Planned,84375106
20250406LTUUKR,Friendly-Matches,06/04/2025 13:00:00,LTU,UKR,6,Open,Planned,84375106
20250402UKRBEL,Friendly-Matches,02/04/2025 18:30:00,UKR,BEL,11,Open,Planned,84375106
20250401ITAUKR,Friendly-Matches,01/04/2025 19:00:00,ITA,UKR,5,Open,Planned,84375106
20250330UKRPRT,Friendly-Matches,30/03/2025 17:30:00,UKR,PRT,5,Open,Planned,84375106
20250329JPNTWN,Friendly-Matches,29/03/2025 13:00:00,JPN,TWN,5,Open,Planned,84375106
20250328FINHRV,Friendly-Matches,28/03/2025 19:00:00,FIN,HRV,5,Open,Planned,84375106
20250326ESPPRT,Friendly-Matches,26/03/2025 20:30:00,ESP,PRT,5,Open,Planned,84375106
20250325BELFIN,Friendly-Matches,25/03/2025 19:00:00,BEL,FIN,5,Open,Planned,84375106
20240630LTUGTM,Friendly-Matches,30/06/2024 18:30:00,LTU,GTM,5,Open,Planned,84375106
20240602USALTU,Friendly-Matches,02/06/2024 18:30:00,USA,LTU,6,Open,Planned,84375106
20240414FINESP,Friendly-Matches,14/04/2024 18:00:00,FIN,ESP,5,Open,Planned,84375106
20240413CHNHRV,Friendly-Matches,13/04/2024 15:00:00,CHN,HRV,5,Open,Planned,84375106
20240411ROUPOL,Friendly-Matches,11/04/2024 19:00:00,ROU,POL,6,Open,Planned,84375106
20240411LVABEL,Friendly-Matches,11/04/2024 18:00:00,LVA,BEL,6,Open,Planned,84375106
20240410ROUGBR,Friendly-Matches,10/04/2024 19:00:00,ROU,GBR,5,Open,Planned,84375106
20240410TUTFIN,Friendly-Matches,10/04/2024 17:30:00,TUT,FIN,4,Open,Planned,84375106
20240410UKRITA,Friendly-Matches,10/04/2024 18:30:00,UKR,ITA,5,Open,Planned,84375106
20240409FRAESP,Friendly-Matches,09/04/2024 19:30:00,FRA,ESP,4,Open,Planned,84375106
20240409POLUKR,Friendly-Matches,09/04/2024 18:30:00,POL,UKR,7,Open,Planned,84375106
20240408ESPRCP,Friendly-Matches,08/04/2024 20:00:00,ESP,RCP,6,Open,Planned,84375106
20240407ESPTWN,Friendly-Matches,07/04/2024 08:00:00,ESP,TWN,5,Open,Planned,84375106
20240406CHNBEL,Friendly-Matches,06/04/2024 12:00:00,CHN,BEL,7,Open,Planned,84375106
20240405CHLARG,Friendly-Matches,05/04/2024 00:00:00,CHL,ARG,10,Open,Planned,84375106
20240404ESPROU,Friendly-Matches,04/04/2024 19:00:00,ESP,ROU,5,Open,Planned,84375106
20240404FINLVA,Friendly-Matches,04/04/2024 18:00:00,FIN,LVA,5,Open,Planned,84375106
20240403UKRESP,Friendly-Matches,03/04/2024 19:00:00,UKR,ESP,5,Open,Planned,84375106
20240402ARGHRV,Friendly-Matches,02/04/2024 21:00:00,ARG,HRV,9,Open,Planned,84375106
20240402ESPCAT,Friendly-Matches,02/04/2024 19:30:00,ESP,CAT,5,Open,Planned,84375106
20240402LVAUKR,Friendly-Matches,02/04/2024 18:00:00,LVA,UKR,6,Open,Planned,84375106
20240331RCPBRA,Friendly-Matches,31/03/2024 17:00:00,RCP,BRA,10,Open,Planned,84375106
20240330FINHRV,Friendly-Matches,30/03/2024 16:00:00,FIN,HRV,6,Open,Planned,84375106
20240330ARGCOL,Friendly-Matches,30/03/2024 14:00:00,ARG,COL,6,Open,Planned,84375106
20240330HKGBEL,Friendly-Matches,30/03/2024 14:00:00,HKG,BEL,5,Open,Planned,84375106
20240328BELUKR,Friendly-Matches,28/03/2024 19:30:00,BEL,UKR,8,Open,Planned,84375106
20240327UKRHUN,Friendly-Matches,27/03/2024 19:30:00,UKR,HUN,5,Open,Planned,84375106
20240324TUTPRT,Friendly-Matches,24/03/2024 18:00:00,TUT,PRT,4,Open,Planned,84375106
20240324FINHUN,Friendly-Matches,24/03/2024 18:00:00,FIN,HUN,5,Open,Planned,84375106